"Question","Pre","Pre.N","Post","Post.N","Diff"
"Which of the following could be categorized as an example of humoral immunity?",0.214285714285714,14,0.777777777777778,18,0.563492063492063
"Exotoxins:",0.277777777777778,18,0.826086956521739,23,0.548309178743961
"__________ produce thickeners for ice cream and salad dressing and emulsifiers for commercial pies and toothpastes.",0.285714285714286,14,0.833333333333333,18,0.547619047619048
"Which of the following would be best to target a new antibiotic to?",0.333333333333333,15,0.875,16,0.541666666666667
"All of the following are true of supercoiling in chromosomal DNA EXCEPT:",0.35,20,0.842105263157895,19,0.492105263157895
"All archaeal phospholipids have a/an __________ link between glycerol and the lipid component.",0.352941176470588,17,0.823529411764706,17,0.470588235294118
"How is most sterilization performed for the controlled study of microbes?",0.461538461538462,13,0.923076923076923,13,0.461538461538462
"Archaeal membranes contain __________ lipid side chains.",0.294117647058824,17,0.733333333333333,15,0.43921568627451
"Lipopolysaccharides are found in:",0.5,16,0.933333333333333,15,0.433333333333333
"Bacteria in the genera __________ produce durable endospores that remain viable for millennia.",0.444444444444444,9,0.866666666666667,15,0.422222222222222
"A special sigma factor, __________, is used to transcribe genes encoding the translocasome necessary for cell competency.",0.411764705882353,17,0.833333333333333,12,0.42156862745098
"What does it mean to say that the genetic code is degenerate?",0.411764705882353,17,0.833333333333333,18,0.42156862745098
"An enzyme complex called RNA polymerase, also known as __________-dependent __________ polymerase, carries out the process of transcription.",0.428571428571429,14,0.85,20,0.421428571428571
"Hektoen agar will grow all of the following microorganisms EXCEPT:",0.15,20,0.565217391304348,23,0.415217391304348
"Which temperature is quickly lethal to any mesophile?",0.5,20,0.909090909090909,11,0.409090909090909
"Amoeboid movement is controlled by:",0.428571428571429,14,0.833333333333333,18,0.404761904761905
"In methanogenesis from CO<sub>2</sub> and H<sub>2</sub>, __________ is hydrogenated and deoxygenated in a stepwise fashion.",0.461538461538462,13,0.857142857142857,14,0.395604395604396
"Magnification without resolution is known as __________ magnification.",0.466666666666667,15,0.857142857142857,14,0.39047619047619
"<i>Methylobacterium</i> species are methylotrophs; this means that __________.",0.4,15,0.785714285714286,14,0.385714285714286
"The process of importing free DNA into cells is known as __________.",0.473684210526316,19,0.857142857142857,14,0.383458646616541
"Cyanobacteria are the only prokaryotes that use __________ to hydrolyze water with O<sub>2</sub>-release.",0.333333333333333,18,0.7,20,0.366666666666667
"The lagging strand is synthesized __________ , while the leading strand can be synthesized __________.",0.526315789473684,19,0.888888888888889,18,0.362573099415205
"Which of the following typically will survive autoclaving under standard laboratory operating conditions?",0.25,16,0.6,15,0.35
"Another scientist has given you a culture of an archaea that is an extreme thermophile and is an obligate anaerobe. It does not produce methane and will not grow under high salt conditions or in very acidic conditions. What group does this organism belong to?",0.428571428571429,21,0.769230769230769,13,0.340659340659341
"The chickenpox vaccine is created with an attenuated virus and the rabies vaccine with an inactivated virus; this means:",0.352941176470588,17,0.6875,16,0.334558823529412
"A useful application of dark-field optics is the study of bacterial:",0.2,20,0.529411764705882,17,0.329411764705882
"In many bacteria, the electron carrier __________ is used for biosynthesis, whereas __________ feeds the electron transport system.",0.363636363636364,11,0.6875,16,0.323863636363636
"Rho functions in:",0.45,20,0.772727272727273,22,0.322727272727273
"Viruses release into the blood, a condition known as __________, facilitates dissemination across the __________ barrier.",0.625,16,0.944444444444444,18,0.319444444444444
"An organism found on human skin that derives benefit from the host but does NOT harm it is described as a/an:",0.571428571428571,14,0.888888888888889,18,0.317460317460317
"Infections that are acquired during a stay in a hospital are called:",0.6,15,0.916666666666667,12,0.316666666666667
"<i>Deinococcus</i> chromosomal DNA is __________ by irradiation.",0.333333333333333,18,0.647058823529412,17,0.313725490196078
"Gene transfer from parent to child is called:",0.423076923076923,26,0.722222222222222,18,0.299145299145299
"Which of the following organisms are commonly used as probiotics?",0.344827586206897,29,0.642857142857143,14,0.298029556650246
"The conditions used in an autoclave may be reproduced at home in:",0.636363636363636,11,0.928571428571429,14,0.292207792207792
"Herpes simplex virus and varicella-zoster virus cause primary __________ infections.",0.714285714285714,14,1,10,0.285714285714286
"Each dividing nucleoid requires __________ DNA polymerase complexes overall.",0.294117647058824,17,0.578947368421053,19,0.284829721362229
"What is lithotrophy?",0.222222222222222,18,0.5,14,0.277777777777778
"Which of the following is NOT part of initiation of transcription?",0,17,0.277777777777778,18,0.277777777777778
"Soy sauce is produced by fermentation with <i>Aspergillus</i> and then with halotolerant __________.",0.583333333333333,12,0.857142857142857,21,0.273809523809524
"Which of the following is NOT an integral part of the inflammatory process?",0.454545454545455,11,0.727272727272727,11,0.272727272727273
"What disease is caused without an infection?",0.411764705882353,17,0.684210526315789,19,0.272445820433437
"Reduction potential is defined as:",0.647058823529412,17,0.916666666666667,12,0.269607843137255
"Phage T4 genes are translated using host cell __________ and viral __________.",0.4,20,0.666666666666667,21,0.266666666666667
"The &#8220;housekeeping&#8221; sigma factor in <i>E. coli</i> is:",0.636363636363636,11,0.894736842105263,19,0.258373205741627
"A __________ phage may integrate its genome into that of the host cell.",0.25,24,0.5,16,0.25
"The fastest growth rate for a species occurs at temperatures where a cell&#8217;s __________ work most efficiently.",0.75,16,1,13,0.25
